node1	node2	provenance
RAPGEF1	GRB2	ppi
RAPGEF1	CRK	ppi
RAPGEF1	EGFR	ppi
RAPGEF1	SRC	ppi
RAPGEF1	FYN	ppi
RAPGEF1	BCAR1	ppi
SHC1	GRB2	ppi
SHC1	EGFR	ppi
SHC1	CRK	ppi
SHC1	ERBB2	ppi
SHC1	MET	ppi
SHC1	FLT1	ppi
H2AX	LMNA	ppi
H2AX	MDC1	ppi
RAD51C	XRCC3	ppi
RAD51C	RAD51D	ppi
CRK	EGFR	ppi
CRK	GRB2	ppi
CRK	CBL	ppi
CRK	SRC	ppi
CRK	MET	ppi
CRK	ERBB2	ppi
CRK	FLT1	ppi
CRK	TP53	ppi
AKT1	EGFR	ppi
AKT1	SRC	ppi
AKT1	MSH2	ppi
AKT1	FYN	ppi
AKT1	ERBB2	ppi
AKT1	TP53	ppi
NRP2	VEGFA	ppi
NRP2	NRP1	ppi
FLT1	PLCG1	ppi
FLT1	CBL	ppi
FLT1	VEGFA	ppi
XRCC2	RAD51D	ppi
XRCC2	RAD51	ppi
CDX1	ZMPSTE24	ppi
ADAM12	SRC	ppi
ADAM12	GRB2	ppi
ADAM12	FYN	ppi
APTX	XRCC4	ppi
APTX	XRCC1	ppi
XRCC5	VCAM1	ppi
SRC	BCAR1	ppi
SRC	CBL	ppi
SRC	MET	ppi
SRC	EGFR	ppi
SRC	XPA	ppi
SRC	ADAM19	ppi
PDGFRB	PLCG1	ppi
PDGFRB	VEGFA	ppi
PDGFRB	ERBB2	ppi
POLD2	PCNA	ppi
POLD2	POLD3	ppi
POLD2	ERBB2	ppi
RBBP8	BRCA1	ppi
RBBP8	PCNA	ppi
RBBP8	FANCD2	ppi
XRCC3	RAD51	ppi
NBN	MDC1	ppi
NBN	ATR	ppi
NBN	XRCC4	ppi
NBN	RAD51	ppi
COCH	COL2A1	ppi
LMNA	EMD	ppi
LMNA	VCAM1	ppi
LMNA	ZMPSTE24	ppi
LMNA	CBL	ppi
LMNA	KAT5	ppi
LMNA	MCM5	ppi
LMNA	COL8A2	ppi
LMNA	LCP2	ppi
LMNA	PCNA	ppi
VEGFA	NRP1	ppi
VEGFA	VEGFB	ppi
ITGA3	ITGB1	ppi
FANCI	FANCD2	ppi
ATM	FANCD2	ppi
MUS81	SLX4	ppi
POLE	POLE2	ppi
NES	COL5A2	ppi
SPP1	ERBB2	ppi
XRCC4	NHEJ1	ppi
MCM7	MCM10	ppi
MCM7	MCM2	ppi
MCM7	MCM5	ppi
MCM7	MCM4	ppi
MCM7	VCAM1	ppi
POLE2	KAT5	ppi
RAD1	MSH6	ppi
RAD1	MSH2	ppi
RAD1	RAD9A	ppi
KAT5	FANCD2	ppi
KAT5	BARD1	ppi
KAT5	BRCA1	ppi
GRB2	LCP2	ppi
GRB2	EGFR	ppi
GRB2	VAV1	ppi
GRB2	CBL	ppi
GRB2	ERBB2	ppi
GRB2	VCAM1	ppi
GRB2	MET	ppi
GRB2	FYN	ppi
RAD52	RAD51	ppi
RAD52	RPA2	ppi
MET	HGF	ppi
MET	CBL	ppi
MET	PLCG1	ppi
MET	ITGB1	ppi
MET	ERBB2	ppi
MET	TP53	ppi
MET	VAV1	ppi
LCP2	EGFR	ppi
LCP2	PLCG1	ppi
PRIM2	RPA2	ppi
PRIM2	KDM1A	ppi
FANCD2	BRCA1	ppi
SLX4	ERCC4	ppi
SLX4	MSH2	ppi
XPA	RPA2	ppi
XPA	PCNA	ppi
EGFR	PLCG1	ppi
EGFR	ERBB2	ppi
EGFR	CBL	ppi
EGFR	VAV1	ppi
EGFR	ITGB1	ppi
HGF	BRCA1	ppi
HGF	ERBB2	ppi
BCAR1	FYN	ppi
POLE4	POLE3	ppi
PHLPP1	ITGB1	ppi
ITGA5	ITGB1	ppi
ITGA5	VCAM1	ppi
SH3KBP1	CBL	ppi
SH3KBP1	P4HB	ppi
MCM5	MCM2	ppi
MCM5	VCAM1	ppi
MCM5	RPA2	ppi
GPX8	COL8A2	ppi
GPX8	ERO1A	ppi
PLCG1	VAV1	ppi
PLCG1	CBL	ppi
PLCG1	ERBB2	ppi
ERBB2	FYN	ppi
ERBB2	TP53	ppi
BRCA1	MSH6	ppi
BRCA1	ATRIP	ppi
BRCA1	BARD1	ppi
BRCA1	MSH2	ppi
BRCA1	KDM1A	ppi
BRCA1	RAD51	ppi
BARD1	RAD51	ppi
MSH6	PCNA	ppi
MSH6	MSH2	ppi
MSH6	RAD9A	ppi
GPX7	ERO1A	ppi
BANF1	EMD	ppi
SPATA48	ZMPSTE24	ppi
ITGA2	ITGB1	ppi
EMD	VCAM1	ppi
EMD	VAV1	ppi
VAV1	FYN	ppi
VAV1	CBL	ppi
RPA2	RAD51	ppi
RPA2	MCM2	ppi
RPA2	MCM4	ppi
RPA2	ERCC4	ppi
PCNA	POLD3	ppi
PCNA	XRCC1	ppi
PCNA	MSH2	ppi
PCNA	CALU	ppi
CBL	FYN	ppi
CBL	VCAM1	ppi
