	node1	node2	provenance
493	SRC	GRB2	pathways
494	SRC	HGF	pathways
495	SRC	MET	pathways
496	SRC	ITGA2B	pathways
497	SRC	PDGFRB	pathways
498	SRC	VEGFA	pathways
499	SRC	EGFR	pathways
500	SRC	FYN	pathways
501	SRC	PLCG1	pathways
502	SRC	ERBB2	pathways
503	SRC	VAV1	pathways
504	PDGFRB	BCAR1	pathways
505	PDGFRB	GRB2	pathways
506	PDGFRB	PLCG1	pathways
507	VEGFA	FYN	pathways
508	VEGFA	PLCG1	pathways
509	VEGFA	BCAR1	pathways
510	ITGA3	ITGB1	pathways
511	SPP1	ITGB1	pathways
512	SPP1	ITGA5	pathways
513	SPP1	ITGA9	pathways
514	SPP1	ITGB5	pathways
515	PTPN2	MET	pathways
516	PTPN2	HGF	pathways
517	GRB2	SH3KBP1	pathways
518	GRB2	CBL	pathways
519	GRB2	VAV1	pathways
520	GRB2	FYN	pathways
521	GRB2	EGFR	pathways
522	GRB2	ERBB2	pathways
523	GRB2	ITGA2B	pathways
524	GRB2	MET	pathways
525	GRB2	HGF	pathways
526	GRB2	LCP2	pathways
527	GRB2	PLCG1	pathways
528	MET	HGF	pathways
529	MET	CBL	pathways
530	MET	SH3KBP1	pathways
531	MET	ITGB1	pathways
532	LCP2	PLCG1	pathways
533	LCP2	VAV1	pathways
534	EGFR	PLCG1	pathways
535	EGFR	CBL	pathways
536	EGFR	ERBB2	pathways
537	EGFR	SH3KBP1	pathways
538	HGF	CBL	pathways
539	HGF	SH3KBP1	pathways
540	HGF	ITGB1	pathways
541	BCAR1	ITGA2B	pathways
542	ITGA5	ITGB1	pathways
543	SH3KBP1	CBL	pathways
544	SH3KBP1	FYN	pathways
545	GPX8	ERO1A	pathways
546	GPX8	P4HB	pathways
547	PLCG1	ERBB2	pathways
548	PLCG1	VAV1	pathways
549	GPX7	ERO1A	pathways
550	GPX7	P4HB	pathways
551	ITGB5	VTN	pathways
552	COL3A1	P4HB	pathways
553	ITGA2	ITGB1	pathways
554	ITGA2B	VTN	pathways
555	VAV1	FYN	pathways
556	VAV1	CBL	pathways
557	NRP1	FYN	pathways
558	VTN	ITGB1	pathways
559	CBL	FYN	pathways
560	ITGB1	ITGA1	pathways
561	ITGB1	ITGA11	pathways
562	ITGB1	TNC	pathways
563	ITGB1	ITGA9	pathways
564	ITGB1	VCAM1	pathways
565	ITGB1	JAM3	pathways
566	ITGAE	ITGB7	pathways
567	ITGA9	TNC	pathways
568	ITGA9	VCAM1	pathways
569	HGF	ADAM12	coexp
570	HGF	FLT1	coexp
571	HGF	PGF	coexp
572	ADAM12	FLT1	coexp
573	ADAM12	PGF	coexp
574	RCN1	COL2A1	coexp
575	RCN1	RCN2	coexp
576	COL2A1	RCN2	coexp
577	P4HA2	CALU	complexes
578	P4HA2	P4HB	complexes
579	P4HA2	P4HA1	complexes
580	ITGB3	ITGA2B	complexes
581	ITGB3	ITGAV	complexes
582	ITGB3	SPP1	complexes
583	ITGB3	ADAM15	complexes
584	ITGB3	COL4A3	complexes
585	ITGB3	EGFR	complexes
586	ITGB3	FN1	complexes
587	ITGB3	SRC	complexes
588	ITGB3	TLN1	complexes
589	ITGB3	VTN	complexes
590	ITGB3	THBS1	complexes
591	ITGB3	ITGA5	complexes
592	ITGB3	PTK2	complexes
593	ITGB3	ADAM12	complexes
594	ERO1B	ERO1A	complexes
595	LYN	GRB2	complexes
596	LYN	LCP2	complexes
597	LYN	CBL	complexes
598	LYN	FYN	complexes
599	LYN	LCK	complexes
600	PLXNA1	NRP1	complexes
601	PLXNA1	NRP2	complexes
602	P4HA3	P4HB	complexes
603	COL4A5	COL2A1	complexes
604	COL4A5	COL5A1	complexes
605	COL4A5	COL8A2	complexes
606	FN1	FYN	complexes
607	FN1	ITGB6	complexes
608	FN1	ITGA2B	complexes
609	FN1	ITGA5	complexes
610	FN1	ITGB1	complexes
611	CAMKMT	COL1A2	complexes
612	THBS1	ITGA3	complexes
613	THBS1	ITGB1	complexes
614	THBS1	ITGA4	complexes
615	THBS1	ITGAV	complexes
616	PDGFB	PDGFRB	complexes
617	ADAM15	ITGAV	complexes
618	ADAM15	ITGA5	complexes
619	ADAM15	ITGB1	complexes
620	ADAM15	ITGA9	complexes
621	COL4A3	ITGAV	complexes
622	COL4A3	NUTF2	complexes
623	P4HA1	P4HB	complexes
624	PIK3R1	BCAR1	complexes
625	PIK3R1	SRC	complexes
626	PIK3R1	CBL	complexes
627	PIK3R1	CRK	complexes
628	PIK3R1	GRB2	complexes
629	PIK3R1	SH3KBP1	complexes
630	PIK3R1	SOS1	complexes
631	PIK3R1	LCP2	complexes
632	PIK3R1	PLCG1	complexes
633	PIK3R1	VAV1	complexes
634	PIK3R1	PDGFRA	complexes
635	PIK3R1	PTPN11	complexes
636	PIK3R1	LCK	complexes
637	PTK2	ITGB5	complexes
638	PTK2	ITGA2B	complexes
639	PTK2	BCAR1	complexes
640	PTK2	CDH1	complexes
641	PTK2	SRC	complexes
642	PTK2	TLN1	complexes
643	JAM2	ITGA4	complexes
644	JAM2	ITGB1	complexes
645	CRKL	CRK	complexes
646	CRKL	PDGFRA	complexes
647	CRKL	RAPGEF1	complexes
648	SH3GL2	CBL	complexes
649	SH3GL2	EGFR	complexes
650	SH3GL2	SH3KBP1	complexes
651	CDH1	ITGAE	complexes
652	CDH1	ITGB7	complexes
653	CDH1	BCAR1	complexes
654	CDH1	SRC	complexes
655	CDH1	TLN1	complexes
656	ITGAV	ITGB1	complexes
657	ITGAV	ITGB5	complexes
658	ITGAV	ITGB6	complexes
659	ITGAV	SPP1	complexes
660	ITGAV	TGFB3	complexes
661	ITGAV	EGFR	complexes
662	ITGAV	VTN	complexes
663	ITGAV	ADAM12	complexes
664	ITGAV	ITGA5	complexes
665	ITGAV	ITGA1	complexes
666	ITGAV	ITGA2	complexes
667	ITGAV	ITGA3	complexes
668	COL1A1	ITGA11	complexes
669	COL1A1	ITGB1	complexes
670	COL1A1	COL3A1	complexes
671	PDGFRA	CRK	complexes
672	PDGFRA	RAPGEF1	complexes
673	PDGFRA	PLCG1	complexes
674	PDGFRA	PTPN11	complexes
675	AGPAT1	COCH	complexes
676	PTRH1	RCN1	complexes
677	PTRH1	RCN2	complexes
678	LCK	FYN	complexes
679	LCK	LCP2	complexes
680	LCK	PLCG1	complexes
681	PLXNB1	SEMA4D	complexes
682	PLXNB1	NRP1	complexes
683	TLN1	ITGA2B	complexes
684	TLN1	BCAR1	complexes
685	TLN1	SRC	complexes
686	L1CAM	ERBB2	complexes
687	SOS1	BCAR1	complexes
688	SOS1	CBL	complexes
689	SOS1	CRK	complexes
690	SOS1	GRB2	complexes
691	SOS1	SH3KBP1	complexes
692	SOS1	LCP2	complexes
693	SOS1	PLCG1	complexes
694	ITGA4	ITGB1	complexes
695	ITGA4	VCAM1	complexes
696	TGFB3	ITGB6	complexes
697	PTPN11	PLCG1	complexes
698	PTPN11	GRB2	complexes
699	RAPGEF1	CRK	complexes
700	SHC1	ERBB2	complexes
701	SHC1	CBL	complexes
702	SHC1	GRB2	complexes
703	SHC1	LCP2	complexes
704	CRK	BCAR1	complexes
705	CRK	CBL	complexes
706	CRK	GRB2	complexes
707	CRK	SH3KBP1	complexes
708	ITGB6	FYN	complexes
709	ITGB6	SPP1	complexes
710	ADAM12	ITGA9	complexes
711	ADAM12	ITGB1	complexes
712	SRC	ITGA2B	complexes
713	SRC	BCAR1	complexes
714	SRC	CBL	complexes
715	SRC	EGFR	complexes
716	COL2A1	COL5A1	complexes
717	COL2A1	COL8A2	complexes
718	VEGFA	ITGA9	complexes
719	VEGFA	ITGB1	complexes
720	VEGFA	VEGFB	complexes
721	ITGA3	ITGB1	complexes
722	ITGA3	ITGA5	complexes
723	ITGA3	ITGA1	complexes
724	ITGA3	ITGA2	complexes
725	SPP1	ITGB5	complexes
726	SPP1	ITGB1	complexes
727	SPP1	ITGA9	complexes
728	SPP1	ITGA5	complexes
729	PTPN2	ITGA1	complexes
730	PTPN2	ITGB1	complexes
731	PTPN2	COL5A1	complexes
732	GRB2	BCAR1	complexes
733	GRB2	CBL	complexes
734	GRB2	SH3KBP1	complexes
735	GRB2	LCP2	complexes
736	GRB2	PLCG1	complexes
737	GRB2	VAV1	complexes
738	GRB2	EGFR	complexes
739	MET	CBL	complexes
740	MET	SH3KBP1	complexes
741	MET	HGF	complexes
742	LCP2	CBL	complexes
743	LCP2	PLCG1	complexes
744	LCP2	VAV1	complexes
745	EGFR	ERBB2	complexes
746	EGFR	SH3KBP1	complexes
747	EGFR	CBL	complexes
748	BCAR1	CBL	complexes
749	BCAR1	SH3KBP1	complexes
750	RCN1	CALU	complexes
751	RCN1	RCN2	complexes
752	ITGA5	ITGB1	complexes
753	ITGA5	ITGA2	complexes
754	ITGA5	ITGA1	complexes
755	SH3KBP1	CBL	complexes
756	GPX8	DIPK2A	complexes
757	PLCG1	CBL	complexes
758	PLCG1	VAV1	complexes
759	PLCG1	FYN	complexes
760	COL8A2	COL5A1	complexes
761	ITGB5	VTN	complexes
762	ITGA2	ITGB1	complexes
763	ITGA2	ITGA1	complexes
764	P4HB	CALU	complexes
765	VAV1	CBL	complexes
766	NRP1	ITGB1	complexes
767	CBL	FYN	complexes
768	ITGB1	ITGA9	complexes
769	ITGB1	ITGA11	complexes
770	ITGB1	VCAM1	complexes
771	ITGB1	ITGA1	complexes
772	ITGB1	TNC	complexes
773	ITGAE	ITGB7	complexes
774	ITGA9	VCAM1	complexes
775	ITGA9	TNC	complexes
776	CALU	RCN2	complexes
