,Gene symbol,Nb of communities,degree PPI ntw,degree Pathways ntw,degree Coexp ntw,degree Complexes ntw,max degree,sum degrees
1680,TINAGL1,1,18,,,1,18,19
1681,B4GALNT4,1,1,,,4,4,5
1682,ATP10D,1,1,,,,1,1
1683,BHLHE41,1,19,1,,1,19,21
1497,C2orf68,1,13,,,2,13,15
1664,TGM5,1,10,,154,3,154,167
1647,LONRF3,1,10,,,1,10,11
1663,AMIGO1,1,38,,,3,38,41
224,CYP27A1,1,1,,272,17,272,290
1648,PIGW,1,1,,,5,5,6
1649,RHOH,1,27,3,,,27,30
1618,ABCD3,1,9,4,,9,9,22
1651,ARHGDIB,1,11,5,,1,11,17
841,VKORC1L1,1,17,,,7,17,24
1501,PIP5K1B,1,,3,,2,3,5
1654,CCDC51,1,1,,,3,3,4
840,PRCP,1,1,3,,39,39,43
901,EPS15,1,25,12,,24,25,61
1656,YOD1,1,24,1,,3,24,28
902,ABCC6,1,5,,212,,212,217
1658,TACC3,1,32,2,,6,32,40
1659,ADAM17,1,6,15,,7,15,28
1660,ITGB3BP,1,74,11,,14,74,99
1661,ABL1,1,186,26,,6,186,218
839,C1QBP,1,34,4,,45,45,83
1619,ABCD2,1,2,4,,,4,6
1609,ABRAXAS2,1,4,4,,3,4,11
1617,TMEM120B,1,56,,,8,56,64
1567,PTP4A3,1,1,,126,,126,127
1560,CKAP4,1,26,4,,20,26,50
1561,SIRPG,1,2,1,,1,2,4
1562,CACNA2D2,1,,10,6,23,23,39
1563,SLC25A24,1,2,,,,2,2
863,PLIN3,1,35,17,,4,35,56
1565,SFTPA2,1,2,8,21,,21,31
1566,ZDHHC2,1,2,1,,,2,3
887,TOR1A,1,52,1,,3,52,56
1558,SIRPA,1,15,11,,1,15,27
1569,ERO1B,1,2,1,,1,2,4
1570,NES,1,8,,,,8,8
1571,PTPN2,1,7,3,,3,7,13
1572,MSR1,1,7,2,,,7,9
1574,GPX7,1,14,2,,,14,16
1575,COL4A3,1,1,2,,3,3,6
1524,HADHA,1,18,1,,3,18,22
1559,SUGCT,1,,,,5,5,5
1557,OSCAR,1,,1,,,1,1
1616,SLC25A52,1,,,1453,5,1453,1458
1546,SFTPA1,1,1,8,21,,21,30
871,ACADL,1,2,,,1,2,3
1537,DIP2A,1,24,,,10,24,34
1538,NYAP2,1,2,,,10,10,12
1539,PLEKHH3,1,,,,10,10,10
878,EPN1,1,12,5,,5,12,22
1542,WDR6,1,7,,,12,12,19
1544,RIOK1,1,,,,4,4,4
867,M6PR,1,11,11,,2,11,24
1556,DMBT1,1,2,4,30,,30,36
1547,SKAP1,1,10,,,5,10,15
1548,SFTPD,1,2,7,20,,20,29
881,REPS2,1,11,6,,24,24,41
884,CRYL1,1,1,,,,1,1
1553,CHST10,1,3,,,18,18,21
1554,SFTA3,1,,2,,,2,2
1555,CD47,1,10,10,,32,32,52
1577,COL5A2,1,1,,,1,1,2
858,SYT2,1,25,1,,1,25,27
1579,GPX8,1,155,2,,1,155,158
1608,BRCC3,1,2,4,,7,7,13
1601,COL4A1,1,4,4,,,4,8
1602,RCN2,1,14,,118,3,118,135
1603,RCN1,1,33,,119,7,119,159
1515,HADHB,1,19,1,,25,25,45
1605,COL4A6,1,4,3,,,4,7
1606,VPS37B,1,25,11,,6,25,42
1607,BABAM2,1,3,4,,5,5,12
875,RABEPK,1,8,12,,,12,20
1580,COCH,1,4,,,3,4,7
1610,SHMT1,1,10,,190,1,190,201
1611,SHMT2,1,14,,201,1,201,216
1612,BABAM1,1,4,4,,3,4,11
1613,PRKRA,1,26,2,14,4,26,46
1614,MOV10,1,1,7,,168,168,176
212,SERPINA3,1,17,,430,1,430,448
1615,AGO4,1,1,4,,1,4,6
1600,COL4A5,1,36,5,,4,36,45
1599,DIPK2A,1,,,,1,1,1
1598,ERO1A,1,8,2,66,1,66,77
1596,NUTF2,1,47,,,1,47,48
207,CR1,1,,6,,,6,6
1582,COL2A1,1,16,,117,3,117,136
1583,COL8A2,1,17,,,3,17,20
208,INHA,1,1,4,848,3,848,856
1584,ITGA1,1,4,3,,22,22,29
1684,ATP10A,1,1,,,,1,1
893,TTC4,1,6,,,1,6,7
1587,PTRH1,1,5,,,2,5,7
1588,COL4A2,1,11,4,,,11,15
935,STON2,1,7,4,,22,22,33
1517,DVL1,1,25,15,,6,25,46
1591,COL4A4,1,1,2,,,2,3
1592,COL5A1,1,2,,,4,4,6
1594,AGPAT1,1,2,,,1,2,3
932,NSF,1,11,18,,,18,29
634,CHCHD10,1,2,,,,2,2
1693,SDCCAG8,1,6,,,2,6,8
1685,CD99L2,1,9,1,,1,9,11
1843,KCTD15,1,22,3,,5,22,30
1819,TRIM27,1,356,1,,11,356,368
1820,MAPK12,1,12,16,164,3,164,195
1821,MAPK13,1,6,,,1,6,7
1822,KRAS,1,58,86,,2,86,146
1823,CTBP1,1,69,8,,35,69,112
1824,CDH11,1,3,,,3,3,6
1825,KMT2A,1,27,6,,61,61,94
1826,CBLL1,1,4,3,,5,5,12
1827,ARHGAP10,1,5,1,,3,5,9
1828,ARHGAP26,1,3,4,,2,4,9
1829,CDH5,1,2,6,56,6,56,70
1830,C2CD2,1,,,,2,2,2
1831,CITED2,1,11,5,,2,11,18
1832,CTCF,1,15,5,,11,15,31
1833,EZH2,1,51,20,,11,51,82
1834,TFAP2C,1,75,13,78,2,78,168
1835,KCTD1,1,22,3,,,22,25
1836,TFAP2A,1,84,13,75,2,84,174
1837,EED,1,44,20,,13,44,77
1838,KDM5B,1,2,2,791,6,791,801
1839,YY1,1,71,15,,36,71,122
1840,SUZ12,1,8,22,,12,22,42
1841,CITED4,1,1,5,,,5,6
1818,MDM4,1,36,5,,3,36,44
1817,PREX2,1,5,1,,,5,6
1816,USP2,1,151,2,9,9,151,171
1803,EGR2,1,16,9,,1,16,26
1793,STN1,1,26,6,,3,26,35
1794,TYMS,1,3,,,1,3,4
1795,DHFR,1,2,,,1,2,3
1796,TEN1,1,17,6,,3,17,26
1797,WDR45B,1,,,,2,2,2
1798,ACTR3C,1,,,,3,3,3
1799,USB1,1,1,,,19,19,20
1800,CTC1,1,5,6,,3,6,14
1801,AMOT,1,55,2,105,14,105,176
1802,SNAI1,1,37,,,3,37,40
1804,MAGEB2,1,10,,1472,1,1472,1483
1815,TMPO,1,9,,,7,9,16
1805,CHD4,1,34,2,,55,55,91
1806,AMOTL2,1,88,2,,9,88,99
1807,NAB2,1,83,5,,,83,88
1808,AMOTL1,1,,2,,7,7,9
1809,NAB1,1,3,4,,4,4,11
1810,EGR1,1,10,2,,2,10,14
