Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	93932 term rank	920 term rank	909 term rank	904 term rank	90348 term rank	90324 term rank	90322 term rank	90321 term rank	902 term rank	90154 term rank	90153 term rank	897 term rank	895 term rank	894 term rank	808 term rank	79477 term rank	79476 term rank	79474 term rank	79333 term rank	79325 term rank	79087 term rank	769 term rank	758 term rank	75496 term rank	740 term rank	633 term rank	500 term rank	498359 term rank	487825 term rank	477 term rank	435628 term rank	412057 term rank	363618 term rank	357074 term rank	3455 term rank	3437 term rank	33445 term rank	33364 term rank	3322 term rank	3163 term rank	3051 term rank	2963 term rank	287 term rank	286 term rank	2834 term rank	280679 term rank	280365 term rank	2658 term rank	263534 term rank	263487 term rank	2500 term rank	220295 term rank	2078 term rank	2067 term rank	1942 term rank	1901 term rank	1860 term rank	1807 term rank	1775 term rank	163746 term rank	1387 term rank	137608 term rank	1340 term rank	1299 term rank	1297 term rank	101028 term rank	100 term rank
GO:0045184	establishment of protein localization	1835	3	13	634	942	565	1112	1152	None	None	None	None	64	395	945	1140	1130	None	577	577	None	516	545	1160	475	8	3	None	None	652	821	1130	644	None	66	None	144	471	660	577	None	196	772	757	723	870	1036	122	479	None	4	358	516	1036	None	629	11	546	470	None	942	293	None	3	277	659	769	None	307	None
GO:0023052	signaling	6462	3	291	14	101	164	43	45	194	115	115	153	33	166	45	43	80	145	179	179	188	4	150	47	10	71	48	189	11	10	10	87	14	3	51	188	217	32	4	179	73	195	6	120	23	36	25	206	3	188	72	41	4	25	163	6	62	132	4	5	101	218	132	47	156	11	70	191	79	153
GO:0032774	RNA biosynthetic process	3621	3	2	None	13	None	None	None	52	429	429	523	None	None	1563	None	8	302	28	28	None	190	None	None	1802	None	None	506	161	1240	None	7	None	None	None	None	None	None	158	28	3	623	960	13	1114	None	None	None	222	None	None	18	190	None	302	974	None	None	None	None	13	645	9	None	331	1386	18	14	286	523
GO:0018212	peptidyl-tyrosine modification	381	3	9	33	None	608	14	31	None	None	None	None	None	None	42	53	None	None	None	None	None	1198	586	30	41	None	None	None	473	39	8	None	29	None	None	None	215	29	None	None	None	None	30	None	31	44	21	213	None	None	None	884	1198	21	None	37	None	122	40	3	None	None	None	None	None	50	1372	None	None	None
GO:0006084	acetyl-CoA metabolic process	33	3	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	50	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	None
GO:0006950	response to stress	3980	4	161	12	157	4	71	70	81	4	4	6	18	6	57	60	122	5	122	122	6	8	6	59	58	297	None	6	71	62	154	126	12	148	13	6	180	20	6	122	85	10	50	117	66	43	64	179	8	6	289	161	8	64	4	63	262	34	71	173	157	6	126	None	4	61	140	104	36	6
GO:0071363	cellular response to growth factor stimulus	675	4	9	24	168	686	12	4	348	None	None	None	None	None	18	16	126	None	162	162	None	737	657	6	7	None	85	None	471	8	165	121	23	None	46	None	None	11	747	162	118	None	9	171	11	10	17	None	1070	None	None	106	737	17	None	29	None	99	27	12	168	None	217	53	None	7	107	194	None	None
GO:0000278	mitotic cell cycle	928	4	4	None	381	None	None	None	4	78	78	81	196	73	638	619	107	65	12	12	81	1208	None	None	None	None	None	79	None	None	None	95	None	None	None	81	169	None	None	12	135	89	1329	61	1040	None	None	164	974	81	None	447	1208	None	53	1327	None	None	None	None	381	106	53	None	78	None	341	52	151	81
GO:0050817	coagulation	233	4	3	127	None	7	217	260	None	None	None	None	None	None	249	217	None	None	None	None	None	None	4	229	226	None	None	None	None	353	219	None	137	101	None	None	None	46	None	None	None	None	207	None	205	204	185	None	None	None	None	None	None	185	None	213	None	74	82	322	None	None	None	None	None	353	None	None	None	None
GO:1901564	organonitrogen compound metabolic process	6535	4	373	54	140	36	33	44	15	118	118	209	5	176	28	34	121	221	14	14	202	22	9	43	45	274	38	202	4	22	40	134	54	356	14	202	85	49	79	14	70	255	7	94	18	93	47	71	19	202	17	167	22	47	205	7	247	78	42	26	140	240	71	39	232	8	106	67	7	209
GO:0009266	response to temperature stimulus	184	4	4	1150	868	None	None	None	630	None	None	None	None	None	None	None	603	None	800	800	None	515	None	None	None	None	None	None	588	None	None	608	1175	None	4	None	None	None	250	800	449	None	None	631	None	None	None	None	577	None	None	655	515	None	None	None	None	None	None	None	868	None	1037	None	None	None	785	862	None	None
GO:0016070	RNA metabolic process	6811	4	68	None	18	None	794	None	47	479	479	484	None	421	None	None	7	332	18	18	455	209	None	None	1612	None	None	346	195	1519	None	6	None	None	None	455	None	None	176	18	4	210	1183	5	None	None	None	None	250	455	22	24	209	None	353	1200	None	None	None	None	18	206	11	None	333	1609	19	4	146	484
GO:0090174	organelle membrane fusion	122	4	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7	55	None	None	None	None	None	None	None	None	None	89	None	None	None	None	None	None	None	None	None	None	88	None	None	39	None	None	None	None	None	4	None	None	None	None	None	None	59	None	None	None	None	None	None
GO:0006851	mitochondrial calcium ion transmembrane transport	19	4	2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	None
GO:0048584	positive regulation of response to stimulus	2267	5	9	5	183	20	46	63	None	330	330	326	None	352	79	82	187	286	None	None	329	14	33	57	9	None	None	343	46	26	56	187	5	378	147	329	371	37	14	None	190	248	20	234	40	50	38	363	13	329	None	107	14	38	455	10	None	285	9	33	183	394	958	None	332	19	122	696	None	326
GO:0070848	response to growth factor	705	5	6	30	171	703	13	5	357	None	None	None	None	None	19	17	128	None	164	164	None	674	676	7	8	None	86	None	485	7	180	123	28	None	59	None	None	13	689	164	120	None	11	175	14	11	18	None	962	None	None	113	674	18	None	33	None	107	32	14	171	None	228	55	None	6	111	193	None	None
GO:0051171	regulation of nitrogen compound metabolic process	5724	5	50	313	16	630	262	295	9	91	91	121	85	150	236	237	10	85	5	5	91	56	None	287	254	None	217	92	22	165	294	9	325	None	178	91	None	580	80	5	30	49	205	6	257	490	291	None	64	91	None	10	56	291	88	237	None	665	307	217	16	74	10	203	86	146	7	8	152	121
GO:0007599	hemostasis	234	5	1	128	None	8	218	262	None	None	None	None	None	None	253	219	None	None	None	None	None	None	5	231	228	None	None	None	None	355	222	None	138	102	None	None	None	47	None	None	None	None	209	None	209	207	189	None	None	None	None	None	None	189	None	214	None	75	83	323	None	None	None	None	None	355	None	None	None	None
GO:0006807	nitrogen compound metabolic process	12053	5	79	776	27	372	887	808	13	9	9	11	79	18	392	455	12	12	31	31	11	187	317	811	581	None	None	12	5	487	963	12	791	None	None	11	None	578	165	31	5	16	613	17	630	814	975	None	167	11	92	28	187	975	9	606	None	1112	784	328	27	10	16	None	10	479	31	16	16	11
GO:0007154	cell communication	6573	5	19	13	110	165	42	39	371	None	None	None	114	None	37	31	127	468	362	362	None	35	152	42	12	None	152	None	20	11	17	137	13	5	75	None	239	56	26	362	156	546	24	143	36	34	24	228	40	None	275	45	35	24	614	18	None	159	7	25	110	None	232	146	389	12	71	379	507	None
GO:0032200	telomere organization	189	5	1	None	None	None	None	None	None	42	42	22	None	16	None	None	None	37	846	846	27	None	None	None	None	None	None	28	None	1401	None	1749	None	None	None	27	None	None	None	846	None	5	None	None	None	None	None	None	None	27	None	None	None	None	39	None	None	None	None	None	None	9	None	None	11	1141	None	515	164	22
GO:0071702	organic substance transport	2617	5	63	486	508	99	530	667	None	None	None	None	87	None	609	580	418	None	None	None	None	1079	114	664	645	14	13	None	None	976	444	422	505	327	None	None	136	461	None	None	354	None	990	378	663	479	621	123	1012	None	5	306	1079	621	None	991	12	10	576	None	508	None	None	13	None	897	435	None	411	None
GO:0010557	positive regulation of macromolecule biosynthetic process	1931	5	2	1507	15	None	937	1554	182	271	271	296	206	380	825	925	43	237	95	95	328	320	None	1384	1022	None	None	311	145	705	1037	42	1540	None	None	328	None	None	241	95	31	218	607	57	740	None	971	None	404	328	None	5	320	971	319	612	None	None	1200	None	15	266	44	None	272	716	6	82	None	296
GO:0048284	organelle fusion	154	5	2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1170	None	None	None	12	77	None	None	None	None	None	None	None	None	None	102	None	None	None	None	None	None	None	None	None	None	104	1080	None	44	None	1170	None	None	None	5	None	None	None	None	None	None	85	None	None	None	None	505	None
