Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	93932 term rank	920 term rank	909 term rank	904 term rank	90348 term rank	90324 term rank	90322 term rank	90321 term rank	902 term rank	90154 term rank	90153 term rank	897 term rank	895 term rank	894 term rank	808 term rank	79477 term rank	79476 term rank	79474 term rank	79333 term rank	79325 term rank	79087 term rank	769 term rank	758 term rank	75496 term rank	740 term rank	633 term rank	500 term rank	498359 term rank	487825 term rank	477 term rank	435628 term rank	412057 term rank	363618 term rank	357074 term rank	3455 term rank	3437 term rank	33445 term rank	33364 term rank	3322 term rank	3163 term rank	3051 term rank	2963 term rank	287 term rank	286 term rank	2834 term rank	280679 term rank	280365 term rank	2658 term rank	263534 term rank	263487 term rank	2500 term rank	220295 term rank	2078 term rank	2067 term rank	1942 term rank	1901 term rank	1860 term rank	1807 term rank	1775 term rank	163746 term rank	1387 term rank	137608 term rank	1340 term rank	1299 term rank	1297 term rank	101028 term rank	100 term rank
GO:0005768	endosome	1035	1	19	49	None	55	69	85	None	None	None	None	None	None	75	87	None	None	None	None	None	None	52	85	68	14	1	None	36	50	87	None	47	None	6	None	1	None	11	None	None	None	72	None	76	82	96	1	None	None	7	None	None	96	None	70	17	29	35	77	None	None	None	1	None	50	None	None	None	None
GO:0032991	protein-containing complex	7826	1	95	7	10	12	5	5	11	9	9	10	2	12	4	8	9	7	10	10	9	2	12	5	4	5	98	9	1	7	12	9	7	2	2	9	15	8	2	10	4	15	11	7	11	7	8	25	3	9	5	3	2	8	7	11	1	40	14	19	10	9	12	100	10	7	2	12	1	10
GO:0097708	intracellular vesicle	2487	1	48	19	None	14	28	24	None	None	None	None	44	None	25	24	None	None	None	None	None	None	14	26	23	2	3	None	None	19	34	None	20	None	19	None	14	25	18	None	None	None	25	None	15	30	16	12	None	None	1	None	None	16	None	35	3	3	22	29	None	None	None	3	None	16	None	None	None	None
GO:0031981	nuclear lumen	5364	1	6	None	5	None	None	None	2	2	2	3	26	3	None	None	3	2	3	3	2	25	None	None	None	None	None	2	27	None	None	3	None	None	73	2	None	None	31	3	3	5	None	3	None	None	None	None	28	2	None	10	25	None	1	None	None	None	None	None	5	1	3	None	4	None	4	2	27	3
GO:0005615	extracellular space	3379	2	2	21	None	2	37	23	None	None	None	None	None	None	24	25	None	None	None	None	None	None	2	24	25	119	54	None	None	43	73	None	24	44	11	None	38	31	58	None	None	None	58	None	52	18	29	39	None	None	61	None	None	29	None	58	114	15	65	None	None	None	None	59	None	41	None	None	None	None
GO:0035869	ciliary transition zone	72	2	2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	82	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	None	None	None	None	None	None	None	None	None	None
GO:0030054	cell junction	2122	2	20	6	None	90	6	6	None	None	None	None	None	None	5	6	None	None	None	None	None	None	63	6	6	34	23	None	None	4	3	None	5	14	42	None	89	10	None	None	None	None	5	None	4	11	5	111	None	None	24	46	None	5	None	4	33	26	6	8	None	None	None	24	None	2	42	None	None	None
GO:0005759	mitochondrial matrix	489	2	3	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	16	None	None	None	None	None	None	None	None	None	None	None	None	65	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	None
GO:0005576	extracellular region	4234	3	4	28	None	3	21	12	None	None	None	None	None	None	29	31	None	None	None	None	None	None	3	12	21	110	44	None	None	28	76	None	27	45	12	None	39	22	60	None	None	None	60	None	56	13	24	40	None	None	52	None	None	24	None	60	107	10	68	None	None	None	None	49	None	27	None	None	None	None
GO:0043233	organelle lumen	6496	3	8	51	6	17	88	92	3	4	4	6	29	4	107	111	4	4	7	7	6	29	23	92	80	None	None	6	11	119	None	4	51	None	None	6	None	50	44	7	5	6	None	4	None	3	22	None	33	6	None	6	29	22	4	None	None	23	None	54	6	5	5	None	7	121	8	4	5	6
GO:0005737	cytoplasm	12254	3	71	42	None	48	34	50	None	None	None	None	9	40	26	22	None	None	74	74	None	5	38	41	52	17	21	None	3	30	39	None	42	59	5	None	3	48	4	74	None	73	21	None	23	23	38	6	5	None	16	39	5	38	None	19	9	61	28	3	None	None	None	21	67	28	80	None	4	None
GO:0097546	ciliary base	47	3	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GO:0098552	side of membrane	631	4	2	4	None	27	14	16	None	None	None	None	None	None	13	14	None	None	None	None	None	27	25	14	9	109	None	None	40	17	25	None	4	6	None	None	119	9	29	None	None	None	23	None	25	19	10	115	25	None	None	None	27	10	None	22	None	14	11	14	None	None	None	None	None	15	None	None	None	None
GO:0012506	vesicle membrane	1202	4	1	121	None	None	None	None	None	None	None	None	None	None	113	80	None	None	None	None	None	None	83	None	None	4	6	None	None	99	46	None	124	None	74	None	16	None	16	None	None	None	80	None	35	None	116	13	None	None	4	None	None	116	None	79	4	71	37	78	None	None	None	6	None	113	None	None	None	None
GO:0019898	extrinsic component of membrane	319	4	1	22	None	None	36	37	None	None	None	None	None	None	30	42	None	None	None	None	None	None	None	36	22	140	None	None	None	20	29	None	23	9	None	None	None	43	None	None	None	None	15	None	33	68	37	None	None	None	None	33	None	37	None	15	None	119	4	20	None	None	None	None	None	14	26	None	None	None
GO:0016020	membrane	9837	5	13	5	59	66	18	14	None	None	None	None	14	38	15	15	70	None	75	75	None	7	49	17	5	12	8	None	23	8	5	73	6	12	15	None	17	29	7	75	None	None	7	None	6	29	11	15	10	None	11	21	7	11	None	8	12	83	5	22	59	None	None	8	None	8	53	81	15	None
GO:0005929	cilium	733	5	8	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	95	None	None	None	159	None	None	28	28	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	None	None	None	97	None	None	None	None	None	None
GO:0042995	cell projection	2389	6	21	41	None	70	25	31	None	None	None	None	39	None	19	19	None	None	None	None	None	43	60	31	39	81	50	None	None	25	6	None	41	15	39	None	None	24	49	None	None	None	18	None	13	38	31	None	43	None	69	42	43	31	None	18	79	74	20	6	None	None	None	42	None	25	59	None	None	None
GO:0031982	vesicle	3973	6	1	17	None	8	35	27	None	None	None	None	None	None	33	28	None	None	None	None	None	None	8	28	24	11	11	None	None	22	35	None	16	42	7	None	32	44	28	None	None	None	22	None	24	34	26	34	None	None	20	None	None	26	None	30	11	6	36	45	None	None	None	9	None	22	None	None	None	None
GO:0005634	nucleus	9929	6	7	None	9	None	None	None	7	10	10	11	54	19	None	None	10	10	13	13	11	22	None	None	None	None	None	12	25	None	None	10	None	None	None	11	44	None	27	13	9	12	None	11	None	None	None	44	22	11	None	14	22	None	10	None	None	None	None	None	9	10	6	None	11	None	12	10	51	11
GO:0031252	cell leading edge	426	7	1	38	None	None	29	32	None	None	None	None	None	None	22	21	None	None	None	None	None	None	None	32	27	None	None	None	None	24	33	None	38	None	None	None	None	33	None	None	None	None	8	None	22	43	28	None	None	None	None	37	None	28	None	7	None	86	17	30	None	None	None	None	None	24	73	None	None	None
