Representative	Represented
GO:0016477	GO:0010634
GO:0016477	GO:0010632
GO:0016477	GO:0030595
GO:0016477	GO:0045123
GO:0016477	GO:0010595
GO:0016477	GO:0072676
GO:0016477	GO:0071675
GO:0016477	GO:0010594
GO:0016477	GO:0014910
GO:0016477	GO:0072678
GO:0016477	GO:0043534
GO:0016477	GO:0001755
GO:0016477	GO:0014911
GO:0016477	GO:0014909
GO:0016477	GO:0090497
GO:0016477	GO:0097531
GO:0016477	GO:0050930
GO:0016477	GO:0002688
GO:0016477	GO:0002690
GO:0016477	GO:2000401
GO:0016477	GO:0071621
GO:0016477	GO:0014812
GO:0016477	GO:0097530
GO:0016477	GO:0006929
GO:0016477	GO:0043535
GO:0016477	GO:0002551
GO:0016477	GO:0002042
GO:0016477	GO:2000403
GO:0016477	GO:0071677
GO:0016477	GO:1905517
GO:0016477	GO:0001764
GO:0016477	GO:0030336
GO:0016477	GO:0048246
GO:0016477	GO:0050901
GO:0016477	GO:2000404
GO:0016477	GO:0043536
GO:0016477	GO:0010763
GO:0016477	GO:0030593
GO:0016477	GO:0010761
GO:0016477	GO:0022029
GO:0071705	GO:0071705
GO:0071705	GO:0015031
GO:0071705	GO:0006886
GO:0071705	GO:0006605
GO:0071705	GO:0051954
GO:0071705	GO:0072663
GO:0071705	GO:0006625
GO:0071705	GO:0072662
GO:0071705	GO:0006606
GO:0071705	GO:0030970
GO:0071705	GO:1903513
GO:0071705	GO:0033157
GO:0071705	GO:0042307
GO:0071705	GO:0051222
GO:0071705	GO:0051223
GO:0071705	GO:0070862
GO:0071705	GO:0090317
GO:0071705	GO:0042306
GO:0071705	GO:0032527
GO:0071705	GO:1904152
GO:0071705	GO:0051224
GO:0071705	GO:0070861
GO:0006974	GO:0006974
GO:0006974	GO:0042770
GO:0006974	GO:0000077
GO:0006974	GO:0044773
GO:0006974	GO:0008630
GO:0006974	GO:0031573
GO:0006974	GO:0030330
GO:0006974	GO:0031571
GO:0006974	GO:0044819
GO:0006974	GO:0007095
GO:0006974	GO:2000001
GO:0006974	GO:0006977
GO:0006974	GO:0043516
GO:0006974	GO:0042771
GO:0060255	GO:0060255
GO:0060255	GO:0010558
GO:0060255	GO:0010557
GO:0060255	GO:0010556
GO:0060255	GO:0010604
GO:0060255	GO:0010468
GO:0060255	GO:0010605
GO:0060255	GO:0001817
GO:0060255	GO:0035196
GO:0060255	GO:0001819
GO:0060255	GO:0070918
GO:0060255	GO:0010628
GO:0060255	GO:0032731
GO:0060255	GO:0032651
GO:0060255	GO:0032611
GO:0060255	GO:0010586
GO:0060255	GO:0040029
GO:0060255	GO:0032732
GO:0060255	GO:0032612
GO:0060255	GO:0032652
GO:0060255	GO:0045814
GO:0060255	GO:0070828
GO:0060255	GO:0032479
GO:0060255	GO:0032606
GO:0060255	GO:0031507
GO:0060255	GO:0002718
GO:0060255	GO:0002367
GO:0060255	GO:0010629
GO:0060255	GO:0032608
GO:0060255	GO:0032648
GO:0060255	GO:0032637
GO:0060255	GO:0032677
GO:0060255	GO:0032481
GO:0060255	GO:0032757
GO:0060255	GO:0002700
GO:0060255	GO:0002720
GO:0060255	GO:0140718
GO:0060255	GO:0071706
GO:0060255	GO:1903555
GO:0060255	GO:0002702
GO:0060255	GO:0032635
GO:0060255	GO:0032675
GO:0060255	GO:0032640
GO:0060255	GO:0032680
GO:0060255	GO:1903557
GO:0060255	GO:0031053
GO:0060255	GO:0001818
GO:0060255	GO:0032615
GO:0060255	GO:0032655
GO:0060255	GO:0002724
GO:0060255	GO:0002369
GO:0060255	GO:0032602
GO:0060255	GO:0032642
GO:0060255	GO:0032728
GO:0060255	GO:0007440
GO:0060255	GO:0032755
GO:0060255	GO:0032760
GO:0060255	GO:0032722
GO:0060255	GO:0032727
GO:0060255	GO:0032729
GO:0060255	GO:0002726
GO:0060255	GO:0032922
GO:0060255	GO:0061082
GO:0060255	GO:0032607
GO:0060255	GO:0032647
GO:0060255	GO:0032494
GO:0060255	GO:0002534
GO:0060255	GO:1900015
GO:0060255	GO:0061081
GO:0060255	GO:0032743
GO:0060255	GO:0032623
GO:0060255	GO:0032663
GO:0060255	GO:0010934
